delta,rep,method,choice,oracle_choice,accuracy,indecision,safety_violation,false_robustness
0.0,0,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,0,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,0,W-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,1,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,1,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,1,W-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,2,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,2,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,2,W-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,3,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,3,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,3,W-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,4,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,4,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,4,W-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,5,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,5,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,5,W-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,6,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,6,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,6,W-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
0.0,7,Nominal SMAA,Fast + safeguards,Fast + safeguards,1,0,0,0
0.0,7,TV-DR-SMAA,Conditional scaling,Fast + safeguards,0,0,0,1
