alternative_id,feature,coverage_lower,coverage_upper,coding_rule,source_ids
a1,predeployment_risk_assessment,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a1,dangerous_capability_evaluation,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a1,usage_restrictions,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a1,red_teaming,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a1,binding_pause_on_dangerous_capability,0,0,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a2,predeployment_risk_assessment,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a2,dangerous_capability_evaluation,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a2,usage_restrictions,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a2,red_teaming,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a2,binding_pause_on_dangerous_capability,0,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a3,predeployment_risk_assessment,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a3,dangerous_capability_evaluation,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a3,usage_restrictions,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a3,red_teaming,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a3,binding_pause_on_dangerous_capability,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a4,predeployment_risk_assessment,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a4,dangerous_capability_evaluation,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a4,usage_restrictions,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a4,red_teaming,0,0,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a4,binding_pause_on_dangerous_capability,1,1,Binary/interval policy coverage used in g5,S04;S06;S08;S09
a1,third_party_model_audit,0,0,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a1,external_scrutiny,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a1,incident_reporting,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a1,publish_external_scrutiny,0,0,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a1,third_party_governance_audit,0,0,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a2,third_party_model_audit,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a2,external_scrutiny,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a2,incident_reporting,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a2,publish_external_scrutiny,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a2,third_party_governance_audit,0,0,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a3,third_party_model_audit,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a3,external_scrutiny,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a3,incident_reporting,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a3,publish_external_scrutiny,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a3,third_party_governance_audit,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a4,third_party_model_audit,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a4,external_scrutiny,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a4,incident_reporting,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a4,publish_external_scrutiny,0,0,Binary policy coverage used in g6,S04;S05;S07;S08;S09
a4,third_party_governance_audit,1,1,Binary policy coverage used in g6,S04;S05;S07;S08;S09
