delta,method,metric,estimate,ci_low,ci_high,n
0.0,Nominal SMAA,recommendation_accuracy,1.0,0.9811546736227335,1.0,200
0.0,Nominal SMAA,oracle_disagreement_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,Nominal SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,Nominal SMAA,correct_and_safe_rate,1.0,0.9811546736227335,1.0,200
0.0,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,TV-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,TV-DR-SMAA,oracle_disagreement_rate,1.0,0.9811546736227335,1.0,200
0.0,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,TV-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,W-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,W-DR-SMAA,oracle_disagreement_rate,1.0,0.9811546736227335,1.0,200
0.0,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,W-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.0,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,Nominal SMAA,recommendation_accuracy,1.0,0.9811546736227335,1.0,200
0.02,Nominal SMAA,oracle_disagreement_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,Nominal SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,Nominal SMAA,correct_and_safe_rate,1.0,0.9811546736227335,1.0,200
0.02,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,TV-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,TV-DR-SMAA,oracle_disagreement_rate,1.0,0.9811546736227335,1.0,200
0.02,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,TV-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,W-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,W-DR-SMAA,oracle_disagreement_rate,1.0,0.9811546736227335,1.0,200
0.02,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,W-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.02,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,Nominal SMAA,recommendation_accuracy,1.0,0.9811546736227335,1.0,200
0.05,Nominal SMAA,oracle_disagreement_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,Nominal SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,Nominal SMAA,correct_and_safe_rate,1.0,0.9811546736227335,1.0,200
0.05,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,TV-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,TV-DR-SMAA,oracle_disagreement_rate,1.0,0.9811546736227335,1.0,200
0.05,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,TV-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.05,W-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
