delta,method,correct_and_safe_rate,oracle_disagreement_rate,recommendation_accuracy,safety_violation_rate
0.0,Nominal SMAA,"1.00 [0.98, 1.00]","0.00 [0.00, 0.02]","1.00 [0.98, 1.00]","0.00 [0.00, 0.02]"
0.0,TV-DR-SMAA,"0.00 [0.00, 0.02]","1.00 [0.98, 1.00]","0.00 [0.00, 0.02]","0.00 [0.00, 0.02]"
0.0,W-DR-SMAA,"0.00 [0.00, 0.02]","1.00 [0.98, 1.00]","0.00 [0.00, 0.02]","0.00 [0.00, 0.02]"
0.15,Nominal SMAA,"0.76 [0.70, 0.81]","0.24 [0.19, 0.30]","0.76 [0.70, 0.81]","0.24 [0.19, 0.30]"
0.15,TV-DR-SMAA,"0.24 [0.19, 0.30]","0.76 [0.70, 0.81]","0.24 [0.19, 0.30]","0.00 [0.00, 0.02]"
0.15,W-DR-SMAA,"0.24 [0.19, 0.30]","0.76 [0.70, 0.81]","0.24 [0.19, 0.30]","0.00 [0.00, 0.02]"
0.2,Nominal SMAA,"0.60 [0.53, 0.67]","0.40 [0.33, 0.47]","0.60 [0.53, 0.67]","0.40 [0.33, 0.47]"
0.2,TV-DR-SMAA,"0.40 [0.33, 0.47]","0.60 [0.53, 0.67]","0.40 [0.33, 0.47]","0.00 [0.00, 0.02]"
0.2,W-DR-SMAA,"0.40 [0.33, 0.47]","0.60 [0.53, 0.67]","0.40 [0.33, 0.47]","0.00 [0.00, 0.02]"
0.3,Nominal SMAA,"0.38 [0.32, 0.45]","0.62 [0.55, 0.68]","0.38 [0.32, 0.45]","0.62 [0.55, 0.68]"
0.3,TV-DR-SMAA,"0.62 [0.55, 0.68]","0.38 [0.32, 0.45]","0.62 [0.55, 0.68]","0.00 [0.00, 0.02]"
0.3,W-DR-SMAA,"0.62 [0.55, 0.68]","0.38 [0.32, 0.45]","0.62 [0.55, 0.68]","0.00 [0.00, 0.02]"
0.4,Nominal SMAA,"0.19 [0.14, 0.25]","0.81 [0.75, 0.86]","0.19 [0.14, 0.25]","0.81 [0.75, 0.86]"
0.4,TV-DR-SMAA,"0.81 [0.75, 0.86]","0.19 [0.14, 0.25]","0.81 [0.75, 0.86]","0.00 [0.00, 0.02]"
0.4,W-DR-SMAA,"0.81 [0.75, 0.86]","0.19 [0.14, 0.25]","0.81 [0.75, 0.86]","0.00 [0.00, 0.02]"
