a3_g3_upper,b1_a2,b1_a3,gap_a3_minus_a2
20,0.64291,0.27255,-0.37035999999999997
25,0.63738,0.27692,-0.36045999999999995
30,0.62836,0.28681,-0.34155
35,0.621,0.29368,-0.32732
40,0.61478,0.30178,-0.313
45,0.60917,0.30959,-0.29958
50,0.59927,0.3195,-0.27976999999999996
55,0.58621,0.33497,-0.25124
60,0.5765,0.34331,-0.23319
65,0.56539,0.35636,-0.20902999999999994
70,0.55118,0.37159,-0.17959000000000003
75,0.53748,0.3858,-0.15167999999999998
80,0.51902,0.40462,-0.11440000000000006
85,0.50188,0.42577,-0.07611000000000001
90,0.48295,0.44575,-0.03720000000000001
95,0.45778,0.47321,0.01543
100,0.43742,0.4954,0.05798000000000003
