a3_g3_upper,b1_a2,b1_a3,gap_a3_minus_a2
20,0.64687,0.26895,-0.3779199999999999
25,0.6387,0.27794,-0.36076
30,0.6309,0.28651,-0.34439000000000003
35,0.62437,0.29092,-0.33344999999999997
40,0.61425,0.30447,-0.30977999999999994
45,0.60745,0.31127,-0.29618000000000005
50,0.59877,0.32074,-0.27803
55,0.58644,0.33275,-0.25368999999999997
60,0.57479,0.34496,-0.22983000000000003
65,0.56444,0.35758,-0.20686000000000004
70,0.55352,0.3694,-0.18412
75,0.53649,0.38651,-0.14998
80,0.51917,0.40398,-0.11519000000000001
85,0.50412,0.42324,-0.08088000000000001
90,0.48205,0.44676,-0.03528999999999999
95,0.46259,0.46921,0.006620000000000015
100,0.43657,0.49806,0.06148999999999999
