epsilon_tv,alternative,lower_b1,upper_b1,RSAI
0.0,Acceleration,0.0,0.0,0.07636666666666667
0.0,Fast + safeguards,0.6603333333333333,0.6603333333333333,0.9824
0.0,Conditional scaling,0.3396666666666667,0.3396666666666667,1.0
0.0,Pause,0.0,0.0,1.0
0.005,Acceleration,0.0,0.0,0.07136666666666666
0.005,Fast + safeguards,0.6553333333333333,0.6653333333333333,0.9774
0.005,Conditional scaling,0.33466666666666667,0.3446666666666667,1.0
0.005,Pause,0.0,0.0,1.0
0.01,Acceleration,0.0,0.0,0.06636666666666667
0.01,Fast + safeguards,0.6503333333333333,0.6703333333333333,0.9724
0.01,Conditional scaling,0.32966666666666666,0.3496666666666667,1.0
0.01,Pause,0.0,0.0,1.0
0.015,Acceleration,0.0,0.0,0.06136666666666667
0.015,Fast + safeguards,0.6453333333333333,0.6753333333333333,0.9674
0.015,Conditional scaling,0.32466666666666666,0.3546666666666667,1.0
0.015,Pause,0.0,0.0,1.0
0.02,Acceleration,0.0,0.0,0.05636666666666666
0.02,Fast + safeguards,0.6403333333333333,0.6803333333333333,0.9624
0.02,Conditional scaling,0.31966666666666665,0.3596666666666667,1.0
0.02,Pause,0.0,0.0,1.0
0.025,Acceleration,0.0,0.0,0.051366666666666665
0.025,Fast + safeguards,0.6353333333333333,0.6853333333333333,0.9574
0.025,Conditional scaling,0.31466666666666665,0.3646666666666667,1.0
0.025,Pause,0.0,0.0,1.0
0.03,Acceleration,0.0,0.0,0.04636666666666667
0.03,Fast + safeguards,0.6303333333333333,0.6903333333333334,0.9524
0.03,Conditional scaling,0.30966666666666665,0.3696666666666667,1.0
0.03,Pause,0.0,0.0,1.0
0.035,Acceleration,0.0,0.0,0.04136666666666666
0.035,Fast + safeguards,0.6253333333333333,0.6953333333333334,0.9474
0.035,Conditional scaling,0.30466666666666664,0.3746666666666667,1.0
0.035,Pause,0.0,0.0,1.0
0.04,Acceleration,0.0,0.0,0.036366666666666665
0.04,Fast + safeguards,0.6203333333333333,0.7003333333333334,0.9424
0.04,Conditional scaling,0.2996666666666667,0.37966666666666665,1.0
0.04,Pause,0.0,0.0,1.0
0.045,Acceleration,0.0,0.0,0.03136666666666667
0.045,Fast + safeguards,0.6153333333333333,0.7053333333333334,0.9374
0.045,Conditional scaling,0.2946666666666667,0.38466666666666666,1.0
0.045,Pause,0.0,0.0,1.0
0.05,Acceleration,0.0,0.0,0.026366666666666663
0.05,Fast + safeguards,0.6103333333333333,0.7103333333333334,0.9324
0.05,Conditional scaling,0.2896666666666667,0.38966666666666666,1.0
0.05,Pause,0.0,0.0,1.0
0.055,Acceleration,0.0,0.0,0.021366666666666666
0.055,Fast + safeguards,0.6053333333333333,0.7153333333333334,0.9274
0.055,Conditional scaling,0.2846666666666667,0.39466666666666667,1.0
0.055,Pause,0.0,0.0,1.0
0.06,Acceleration,0.0,0.0,0.016366666666666668
0.06,Fast + safeguards,0.6003333333333334,0.7203333333333333,0.9224000000000001
0.06,Conditional scaling,0.2796666666666667,0.39966666666666667,1.0
0.06,Pause,0.0,0.0,1.0
0.065,Acceleration,0.0,0.0,0.011366666666666664
0.065,Fast + safeguards,0.5953333333333333,0.7253333333333334,0.9174
0.065,Conditional scaling,0.27466666666666667,0.4046666666666667,1.0
0.065,Pause,0.0,0.0,1.0
0.07,Acceleration,0.0,0.0,0.006366666666666659
0.07,Fast + safeguards,0.5903333333333334,0.7303333333333333,0.9124000000000001
0.07,Conditional scaling,0.26966666666666667,0.4096666666666667,1.0
0.07,Pause,0.0,0.0,1.0
0.075,Acceleration,0.0,0.0,0.0013666666666666688
0.075,Fast + safeguards,0.5853333333333334,0.7353333333333333,0.9074000000000001
0.075,Conditional scaling,0.26466666666666666,0.4146666666666667,1.0
0.075,Pause,0.0,0.0,1.0
0.08,Acceleration,0.0,0.0,0.0
0.08,Fast + safeguards,0.5803333333333334,0.7403333333333333,0.9024000000000001
0.08,Conditional scaling,0.25966666666666666,0.4196666666666667,1.0
0.08,Pause,0.0,0.0,1.0
0.085,Acceleration,0.0,0.0,0.0
0.085,Fast + safeguards,0.5753333333333334,0.7453333333333333,0.8974000000000001
0.085,Conditional scaling,0.25466666666666665,0.4246666666666667,1.0
0.085,Pause,0.0,0.0,1.0
0.09,Acceleration,0.0,0.0,0.0
0.09,Fast + safeguards,0.5703333333333334,0.7503333333333333,0.8924000000000001
0.09,Conditional scaling,0.24966666666666668,0.42966666666666664,1.0
0.09,Pause,0.0,0.0,1.0
0.095,Acceleration,0.0,0.0,0.0
0.095,Fast + safeguards,0.5653333333333334,0.7553333333333333,0.8874000000000001
0.095,Conditional scaling,0.24466666666666667,0.43466666666666665,1.0
0.095,Pause,0.0,0.0,1.0
0.1,Acceleration,0.0,0.0,0.0
0.1,Fast + safeguards,0.5603333333333333,0.7603333333333333,0.8824000000000001
0.1,Conditional scaling,0.23966666666666667,0.43966666666666665,1.0
0.1,Pause,0.0,0.0,1.0
0.105,Acceleration,0.0,0.0,0.0
0.105,Fast + safeguards,0.5553333333333333,0.7653333333333333,0.8774000000000001
0.105,Conditional scaling,0.2346666666666667,0.44466666666666665,1.0
0.105,Pause,0.0,0.0,1.0
0.11,Acceleration,0.0,0.0,0.0
0.11,Fast + safeguards,0.5503333333333333,0.7703333333333333,0.8724000000000001
0.11,Conditional scaling,0.22966666666666669,0.44966666666666666,1.0
0.11,Pause,0.0,0.0,1.0
0.115,Acceleration,0.0,0.0,0.0
0.115,Fast + safeguards,0.5453333333333333,0.7753333333333333,0.8674000000000001
0.115,Conditional scaling,0.22466666666666668,0.45466666666666666,1.0
0.115,Pause,0.0,0.0,1.0
0.12,Acceleration,0.0,0.0,0.0
0.12,Fast + safeguards,0.5403333333333333,0.7803333333333333,0.8624
0.12,Conditional scaling,0.21966666666666668,0.45966666666666667,1.0
0.12,Pause,0.0,0.0,1.0
0.125,Acceleration,0.0,0.0,0.0
0.125,Fast + safeguards,0.5353333333333333,0.7853333333333333,0.8574
0.125,Conditional scaling,0.21466666666666667,0.4646666666666667,1.0
0.125,Pause,0.0,0.0,1.0
0.13,Acceleration,0.0,0.0,0.0
0.13,Fast + safeguards,0.5303333333333333,0.7903333333333333,0.8524
0.13,Conditional scaling,0.20966666666666667,0.4696666666666667,1.0
0.13,Pause,0.0,0.0,1.0
0.135,Acceleration,0.0,0.0,0.0
0.135,Fast + safeguards,0.5253333333333333,0.7953333333333333,0.8474
0.135,Conditional scaling,0.20466666666666666,0.4746666666666667,1.0
0.135,Pause,0.0,0.0,1.0
0.14,Acceleration,0.0,0.0,0.0
0.14,Fast + safeguards,0.5203333333333333,0.8003333333333333,0.8424
0.14,Conditional scaling,0.19966666666666666,0.4796666666666667,1.0
0.14,Pause,0.0,0.0,1.0
0.145,Acceleration,0.0,0.0,0.0
0.145,Fast + safeguards,0.5153333333333333,0.8053333333333333,0.8374
0.145,Conditional scaling,0.19466666666666668,0.4846666666666667,1.0
0.145,Pause,0.0,0.0,1.0
0.15,Acceleration,0.0,0.0,0.0
0.15,Fast + safeguards,0.5103333333333333,0.8103333333333333,0.8324
0.15,Conditional scaling,0.18966666666666668,0.4896666666666667,1.0
0.15,Pause,0.0,0.0,1.0
0.155,Acceleration,0.0,0.0,0.0
0.155,Fast + safeguards,0.5053333333333333,0.8153333333333334,0.8274
0.155,Conditional scaling,0.18466666666666667,0.4946666666666667,1.0
0.155,Pause,0.0,0.0,1.0
0.16,Acceleration,0.0,0.0,0.0
0.16,Fast + safeguards,0.5003333333333333,0.8203333333333334,0.8224
0.16,Conditional scaling,0.17966666666666667,0.4996666666666667,1.0
0.16,Pause,0.0,0.0,1.0
0.165,Acceleration,0.0,0.0,0.0
0.165,Fast + safeguards,0.4953333333333333,0.8253333333333334,0.8174
0.165,Conditional scaling,0.17466666666666666,0.5046666666666667,1.0
0.165,Pause,0.0,0.0,1.0
0.17,Acceleration,0.0,0.0,0.0
0.17,Fast + safeguards,0.4903333333333333,0.8303333333333334,0.8124
