epsilon_w,alternative,lower_b1,upper_b1,RSAI
0.0,Acceleration,0.0,0.0,0.07636666666666667
0.0,Fast + safeguards,0.6603333333333334,0.6603333333333334,0.9824000000000005
0.0,Conditional scaling,0.33966666666666684,0.33966666666666684,1.0
0.0,Pause,0.0,0.0,1.0
0.01,Acceleration,0.0,0.0,0.015221664335265698
0.01,Fast + safeguards,0.6442392187072469,0.6786248929507825,0.9420712037705345
0.01,Conditional scaling,0.3213751070492177,0.35576078129275335,1.0
0.01,Pause,0.0,0.0,1.0
0.025,Acceleration,0.0,0.0,0.0001491987464507942
0.025,Fast + safeguards,0.634607952530682,0.6905547635020254,0.903092938558582
0.025,Conditional scaling,0.3094452364979751,0.3653920474693179,1.0
0.025,Pause,0.0,0.0,1.0
0.05,Acceleration,0.0,0.0,0.0
0.05,Fast + safeguards,0.6241892097708086,0.7035458674912053,0.8535443206182283
0.05,Conditional scaling,0.29645413250879543,0.3758107902291913,1.0
0.05,Pause,0.0,0.0,1.0
0.1,Acceleration,0.0,0.0,0.0
0.1,Fast + safeguards,0.6062409927709547,0.7234684280893591,0.7755173767762729
0.1,Conditional scaling,0.2765315719106418,0.39375900722904533,1.0
0.1,Pause,0.0,0.0,1.0
